mofd_label,region,totfoodinsec,weighted_count,percentage
2025m01,Papua,4,265335.69140625,5.720177371116911
2025m01,Papua,5,27258.93310546875,0.5876553262936535
2025m01,Papua,7,304037.2102050781,6.554515001639308
2025m01,Sulawesi,0,14248763.772460938,68.10970314618707
2025m01,Sulawesi,1,1312887.5535888672,6.275658925028098
2025m01,Sulawesi,2,1576693.4526367188,7.536662459039169
2025m01,Sulawesi,3,998487.89404296875,4.772815041664663
2025m01,Sulawesi,4,432512.3184814453,2.067427468744718
2025m01,Sulawesi,5,960399.3713378906,4.590750266351764
2025m01,Sulawesi,6,20499.755859375,0.09798971394626424
2025m01,Sulawesi,7,1041486.0205078125,4.9783479339302295
2025m01,Sulawesi,8,328583.87548828125,1.5706450451080272
2025m01,Sumatra,0,37339666.82128906,58.464505579154476
2025m01,Sumatra,1,9153187.509765625,14.33158428523078
2025m01,Sumatra,2,2938216.2431640625,4.600505964967186
2025m01,Sumatra,3,3495120.9921875,5.472478416198992
2025m01,Sumatra,4,2441446.5400390625,3.8226898366414908
2025m01,Sumatra,5,2112362.6416015625,3.307427407860534
2025m01,Sumatra,6,2513545.9008789063,3.9355792607557736
2025m01,Sumatra,7,2876941.5537109375,4.504565247538215
2025m01,Sumatra,8,996753.04296875,1.5606640016525433
2025m02,Java,0,105448399.65283203,65.05155672291731
2025m02,Java,1,26830356.482910156,16.551758607910244
2025m02,Java,2,11375376.83984375,7.017517327696892
2025m02,Java,3,1893606.501953125,1.1681737340560998
2025m02,Java,4,7137860.0625,4.403375587156143
2025m02,Java,5,4270015.73828125,2.634190484834847
2025m02,Java,6,2230181.076171875,1.3758079900369087
2025m02,Java,7,2830069.93359375,1.7458819234915934
2025m02,Java,8,83866.546875,0.0517376218999616
2025m02,Kalimantan,0,10009855.697753906,56.61142533354885
2025m02,Kalimantan,1,2863701.272583008,16.195858927996255
2025m02,Kalimantan,2,1656905.5083007813,9.370742725987853
2025m02,Kalimantan,3,2237684.458984375,12.655377909020386
2025m02,Kalimantan,5,649353.0869140625,3.672460913017318
2025m02,Kalimantan,6,193615.8515625,1.0950077258937347
2025m02,Kalimantan,7,70572.296875,0.39912646453560574
2025m02,Maluku,0,2394035.8873291016,72.23662178031249
2025m02,Maluku,1,207505.58740234375,6.261185437452934
2025m02,Maluku,2,60524.68310546875,1.8262460746738147
2025m02,Maluku,3,322479.9716796875,9.730373662836069
2025m02,Maluku,4,39962.2412109375,1.2058036887110695
2025m02,Maluku,5,44807.4140625,1.3519998759073415
2025m02,Maluku,6,53849.015625,1.6248173202136014
2025m02,Maluku,7,28462.69921875,0.8588213941126271
2025m02,Maluku,8,162530.6494140625,4.904130765780055
2025m02,Nusa Tenggara,0,6890713.1865234375,42.29913350657743
2025m02,Nusa Tenggara,1,3051243.1181640625,18.73027312596133
2025m02,Nusa Tenggara,2,2314373.837890625,14.206948584730878
2025m02,Nusa Tenggara,3,1375470.5625,8.443423979878164
2025m02,Nusa Tenggara,5,478794.38671875,2.939113432500052
2025m02,Nusa Tenggara,6,784132.0126953125,4.813450189256034
2025m02,Nusa Tenggara,7,346826.6728515625,2.129020224972093
2025m02,Nusa Tenggara,8,1048882.01953125,6.438636956124019
2025m02,Papua,0,3364505.233520508,71.92585419479673
2025m02,Papua,1,822582.1123046875,17.585028694090223
2025m02,Papua,2,31182.1025390625,0.6666059955463403
2025m02,Papua,3,198276.92333984375,4.23873232124891
2025m02,Papua,4,79971.375,1.7096152506170124
2025m02,Papua,5,36297.5546875,0.7759633125459581
2025m02,Papua,7,104154.89404296875,2.2266066487197245
2025m02,Papua,8,40770.89111328125,0.8715935824351055
2025m02,Sulawesi,0,15377938.73248291,75.3180867279984
2025m02,Sulawesi,1,1249015.5970458984,6.117430086011056
2025m02,Sulawesi,2,746886.015625,3.658099221188026
2025m02,Sulawesi,3,1354326.5793457031,6.633222341153351
2025m02,Sulawesi,4,383059.5576171875,1.8761495597363274
2025m02,Sulawesi,5,880488.9462890625,4.312459814888083
2025m02,Sulawesi,6,206724.00390625,1.0124930737356428
2025m02,Sulawesi,7,53053.21484375,0.2598440991548628
2025m02,Sulawesi,8,165832.59375,0.812215076134249
2025m02,Sumatra,0,33259439.071289063,52.17888107768548
2025m02,Sumatra,1,8928026.4873046875,14.006683376137943
2025m02,Sumatra,2,7910551.546875,12.410423625562778
2025m02,Sumatra,3,4451061.71875,6.983022762178323
2025m02,Sumatra,4,2703557.67578125,4.241461022505034
2025m02,Sumatra,5,1318848.80078125,2.069068410561916
2025m02,Sumatra,6,2596409.7890625,4.073362672234022
2025m02,Sumatra,7,813515.3125,1.2762788528943292
2025m02,Sumatra,8,1759778.33984375,2.760818200240169
2025m03,Java,0,107648045.14746094,66.79356653074731
2025m03,Java,1,25781369.760742188,15.996850049706147
2025m03,Java,2,9876956.570800781,6.12846387437296
2025m03,Java,3,5731614.841796875,3.5563580995804833
2025m03,Java,4,3730817.34765625,2.314901272785645
2025m03,Java,5,3810514.572265625,2.364351886282343
2025m03,Java,6,854459.3671875,0.5301758012593569
2025m03,Java,7,2157975.2890625,1.3389826619169638
