date,source_label,weighted_count,n_households,percentage
2025-02-01,Unprotected well,465346.2109375,2,17.787244542310834
2025-03-01,Bottled water (new),179248.6953125,3,3.442240462874651
2025-03-01,Bottled water (refill),897209.3125,4,17.229749950319864
2025-03-01,Other,419685.40625,1,8.059518004039786
2025-03-01,Protected spring,520129.5390625,2,9.988418282073953
2025-03-01,Protected well,1182555.375,5,22.709453780504244
2025-03-01,Public tap/standpipe,604894.6875,1,11.616223847321997
2025-03-01,Rainwater collection,681444.16796875,6,13.086258084515068
2025-03-01,Tubewell/borehole,666204.3125,2,12.79359627712263
2025-03-01,Unprotected spring,24745.068359375,1,0.4751971857577025
2025-03-01,Unprotected well,31209.8046875,1,0.599344125470104
2025-04-01,Bottled water (new),426195.8125,1,12.03416672246449
2025-04-01,Bottled water (refill),593932.01953125,4,16.770406313762404
2025-04-01,Cart with small tank/drum,100703.296875,1,2.8434823350020295
2025-04-01,Protected spring,395443.1796875,2,11.16582803971322
2025-04-01,Protected well,1706452.82421875,3,48.183809386134755
2025-04-01,Tanker-truck,147731.875,1,4.171392495725855
2025-04-01,Unprotected spring,50668.65625,1,1.430692275785188
2025-04-01,Unprotected well,120420.515625,1,3.4002224314120637
2025-05-01,Bottled water (refill),1405020.46484375,7,45.364018551126854
2025-05-01,Other,571098.140625,2,18.439095581933508
2025-05-01,Protected spring,385376.0625,1,12.442670612882774
2025-05-01,Protected well,592117.0478515625,5,19.117734876668788
2025-05-01,Rainwater collection,109479.17626953125,2,3.5347637330004367
2025-05-01,Surface water,34122.515625,1,1.1017166443876383
2025-06-01,Bottled water (refill),1577029.111328125,8,58.748032616893155
2025-06-01,Protected well,540294.19140625,3,20.12722564944969
2025-06-01,Rainwater collection,309567.72265625,2,11.532123622265036
2025-06-01,Surface water,220929.890625,1,8.230156518514399
2025-06-01,Unprotected spring,36573.84765625,1,1.3624615928777224
2025-07-01,Bottled water (refill),943186.36328125,5,29.220174513266134
2025-07-01,Cart with small tank/drum,371946.28125,1,11.52299871032436
2025-07-01,Protected spring,10310.75390625,1,0.3194300089918983
