date,source_state,dest_state,weighted_count,n_households,percentage,indicator
2025-09-01,Not_unhealthy,Not_unhealthy,229304700.29589844,934,82.89544698175636,unhealthy
2025-09-01,unhealthy,unhealthy,47314473.18701172,170,17.10455301824364,unhealthy
2025-10-01,Not_unhealthy,Not_unhealthy,236658843.55859375,908,85.58302720787884,unhealthy
2025-10-01,unhealthy,unhealthy,39866597.61767578,146,14.416972792121161,unhealthy
2024-03-01,Not_low_diversity,Not_low_diversity,154313277.80560303,1056,57.18741167239294,low_diversity
2024-03-01,low_diversity,low_diversity,115524564.63708496,747,42.81258832760706,low_diversity
2024-04-01,Not_low_diversity,Not_low_diversity,166367002.27563477,835,60.158841672966844,low_diversity
2024-04-01,low_diversity,low_diversity,110179217.1147461,538,39.841158327033156,low_diversity
2024-05-01,Not_low_diversity,Not_low_diversity,176257754.1484375,964,63.964279561642236,low_diversity
2024-05-01,low_diversity,low_diversity,99298783.58850098,632,36.03572043835777,low_diversity
2024-06-01,Not_low_diversity,Not_low_diversity,197608995.53173828,930,71.5540129661105,low_diversity
2024-06-01,low_diversity,low_diversity,78558597.78735352,441,28.44598703388949,low_diversity
2024-07-01,Not_low_diversity,Not_low_diversity,195657927.5328369,1028,71.28220449255494,low_diversity
2024-07-01,low_diversity,low_diversity,78825625.44604492,465,28.717795507445064,low_diversity
2024-08-01,Not_low_diversity,Not_low_diversity,212419396.13842773,1012,76.98896513356347,low_diversity
2024-08-01,low_diversity,low_diversity,63489489.9855957,301,23.011034866436532,low_diversity
2024-09-01,Not_low_diversity,Not_low_diversity,213243596.7216797,998,77.16325585161867,low_diversity
2024-09-01,low_diversity,low_diversity,63110212.3137207,322,22.836744148381328,low_diversity
2024-10-01,Not_low_diversity,Not_low_diversity,214853407.57983398,971,78.23234591926118,low_diversity
2024-10-01,low_diversity,low_diversity,59781597.99902344,290,21.76765408073882,low_diversity
2024-11-01,Not_low_diversity,Not_low_diversity,213760784.25683594,922,77.35956491509558,low_diversity
2024-11-01,low_diversity,low_diversity,62560294.450683594,294,22.640435084904414,low_diversity
2024-12-01,Not_low_diversity,Not_low_diversity,215694453.34716797,1036,77.97560244849385,low_diversity
2024-12-01,low_diversity,low_diversity,60923420.15966797,290,22.024397551506155,low_diversity
2025-01-01,Not_low_diversity,Not_low_diversity,212033839.77685547,1093,76.69499565642855,low_diversity
2025-01-01,low_diversity,low_diversity,64429882.48046875,327,23.30500434357146,low_diversity
2025-02-01,Not_low_diversity,Not_low_diversity,212540277.9177246,1053,76.81934183829546,low_diversity
2025-02-01,low_diversity,low_diversity,64135195.77368164,250,23.18065816170453,low_diversity
2025-03-01,Not_low_diversity,Not_low_diversity,223797211.83935547,912,81.03786044074927,low_diversity
2025-03-01,low_diversity,low_diversity,52366559.78808594,197,18.96213955925074,low_diversity
2025-04-01,Not_low_diversity,Not_low_diversity,220981731.6689453,958,79.90041353345309,low_diversity
2025-04-01,low_diversity,low_diversity,55589717.584472656,219,20.099586466546913,low_diversity
2025-05-01,Not_low_diversity,Not_low_diversity,221637261.72509766,939,80.15243642881006,low_diversity
2025-05-01,low_diversity,low_diversity,54882419.52246094,207,19.847563571189923,low_diversity
2025-06-01,Not_low_diversity,Not_low_diversity,228365375.51220703,897,82.69967233137905,low_diversity
2025-06-01,low_diversity,low_diversity,47772811.10253906,191,17.300327668620945,low_diversity
2025-07-01,Not_low_diversity,Not_low_diversity,222824431.34716797,917,80.54193495528243,low_diversity
2025-07-01,low_diversity,low_diversity,53831985.55029297,199,19.458065044717575,low_diversity
2025-08-01,Not_low_diversity,Not_low_diversity,223377210.00634766,891,81.13093277927747,low_diversity
2025-08-01,low_diversity,low_diversity,51952066.20703125,196,18.86906722072252,low_diversity
2025-09-01,Not_low_diversity,Not_low_diversity,218584654.37548828,907,79.02006633281792,low_diversity
2025-09-01,low_diversity,low_diversity,58034519.107421875,197,20.97993366718208,low_diversity
2025-10-01,Not_low_diversity,Not_low_diversity,222247114.26757813,877,80.37130808731193,low_diversity
2025-10-01,low_diversity,low_diversity,54278326.908691406,177,19.628691912688065,low_diversity
2024-03-01,Not_skip_meal,Not_skip_meal,239782764.22906494,1555,88.86180013094102,skip_meal
2024-03-01,skip_meal,skip_meal,30055078.213623047,248,11.13819986905898,skip_meal
2024-04-01,Not_skip_meal,Not_skip_meal,248339923.68701172,1198,89.80051299723165,skip_meal
2024-04-01,skip_meal,skip_meal,28206295.70336914,175,10.19948700276835,skip_meal
2024-05-01,Not_skip_meal,Not_skip_meal,245988302.91088867,1372,89.39568682207405,skip_meal
2024-05-01,skip_meal,skip_meal,29179674.041381836,222,10.60431317792594,skip_meal
2024-06-01,Not_skip_meal,Not_skip_meal,247713551.3232422,1215,89.69682081308757,skip_meal
2024-06-01,skip_meal,skip_meal,28454041.99584961,156,10.303179186912423,skip_meal
2024-07-01,Not_skip_meal,Not_skip_meal,248132004.0687256,1326,90.39958911046897,skip_meal
2024-07-01,skip_meal,skip_meal,26351548.91015625,167,9.600410889531032,skip_meal
2024-08-01,Not_skip_meal,Not_skip_meal,257406677.61547852,1202,93.37017812369595,skip_meal
2024-08-01,skip_meal,skip_meal,18277360.680419922,110,6.629821876304054,skip_meal
2024-09-01,Not_skip_meal,Not_skip_meal,252585491.8083496,1209,91.3993162207487,skip_meal
2024-09-01,skip_meal,skip_meal,23768317.22705078,111,8.600683779251295,skip_meal
2024-10-01,Not_skip_meal,Not_skip_meal,252822849.76245117,1146,92.05776562589607,skip_meal
2024-10-01,skip_meal,skip_meal,21812155.81640625,115,7.9422343741039265,skip_meal
