date,region,mean_kg,mean_price,product
2025-03-01,Sulawesi,7.715850255799877,229219.06730083897,rice
2025-03-01,Sumatra,6.764597192094856,142737.48976945106,rice
2025-04-01,Java,4.787660334786896,139241.11604521034,rice
2025-04-01,Kalimantan,4.937408077866341,161497.80044695036,rice
2025-04-01,Maluku,4.218311278610151,210863.72024519014,rice
2025-04-01,Nusa Tenggara,20.645849284632867,403651.3800730086,rice
2025-04-01,Papua,6.432222021920841,220237.43443269565,rice
2025-04-01,Sulawesi,5.9174925099048785,217877.55216851484,rice
2025-04-01,Sumatra,5.748763554918544,153774.28427740574,rice
2025-05-01,Java,5.03753726671573,138417.60272590644,rice
2025-05-01,Kalimantan,5.146713301426498,160384.80888387817,rice
2025-05-01,Maluku,5.601306288274506,145454.29090297993,rice
2025-05-01,Nusa Tenggara,17.54817346945419,170241.6066653831,rice
2025-05-01,Papua,6.293731744583071,192551.19282166683,rice
2025-05-01,Sulawesi,7.059054810168441,231200.8209995123,rice
2025-05-01,Sumatra,7.0282806942972025,153771.668626944,rice
2025-06-01,Java,5.213249788204289,134722.5407030397,rice
2025-06-01,Kalimantan,4.280989507946582,150312.13609679695,rice
2025-06-01,Maluku,3.45271549564904,107434.51354018903,rice
2025-06-01,Nusa Tenggara,6.733932420662176,158389.62754594916,rice
2025-06-01,Papua,7.1517619752062656,155708.9166589061,rice
2025-06-01,Sulawesi,4.918900030144436,154515.71690380422,rice
2025-06-01,Sumatra,5.442602799345801,137184.7974079096,rice
2025-07-01,Java,6.067299227120961,151180.6776277774,rice
2025-07-01,Kalimantan,4.32842193115747,116862.14392291593,rice
2025-07-01,Maluku,7.562989151034921,251242.89212174877,rice
2025-07-01,Nusa Tenggara,19.00167537024739,523542.3289996567,rice
2025-07-01,Papua,7.136169978232365,208354.96049518848,rice
2025-07-01,Sulawesi,3.990431733132502,185173.06263068217,rice
2025-07-01,Sumatra,6.960728711760788,147228.72421554025,rice
2025-08-01,Java,5.505814919115344,146171.53584006167,rice
2025-08-01,Kalimantan,4.684757745509747,133917.71427893065,rice
2025-08-01,Maluku,9.248166803378606,238547.01409345033,rice
2025-08-01,Nusa Tenggara,5.798639599761675,182298.36322883028,rice
2025-08-01,Papua,3.6939929645612404,236528.67322343803,rice
2025-08-01,Sulawesi,3.1902148261406946,158084.96081020418,rice
2025-08-01,Sumatra,5.451112102215752,146346.86682859022,rice
2025-09-01,Java,5.935790649261864,148266.3626449653,rice
2025-09-01,Kalimantan,5.321539043730317,134791.18978962873,rice
2025-09-01,Maluku,7.294048499951463,194429.8560935097,rice
2025-09-01,Nusa Tenggara,5.333062996077283,141070.4167314952,rice
2025-09-01,Papua,9.200566132362155,191145.20283756894,rice
2025-09-01,Sulawesi,6.527456630344984,220365.2020333745,rice
2025-09-01,Sumatra,6.697246110849531,151225.0614728685,rice
2025-10-01,Java,5.854991602736353,144461.02898444698,rice
2025-10-01,Kalimantan,4.520758944982853,127526.02492783924,rice
2025-10-01,Maluku,4.001596006526508,110435.01140162926,rice
2025-10-01,Nusa Tenggara,9.463877073741408,210260.89458258936,rice
2025-10-01,Papua,3.211354766982336,142147.25490465172,rice
2025-10-01,Sulawesi,4.76518551160197,194619.34598705007,rice
2025-10-01,Sumatra,7.567661281859963,179068.29882683847,rice
2024-03-01,Java,NA,NA,chicken
2024-03-01,Kalimantan,NA,NA,chicken
2024-03-01,Maluku,NA,NA,chicken
2024-03-01,Nusa Tenggara,NA,NA,chicken
2024-03-01,Papua,NA,NA,chicken
2024-03-01,Sulawesi,NA,NA,chicken
2024-03-01,Sumatra,NA,NA,chicken
2024-04-01,Java,0.8131635352887328,31563.101954032434,chicken
2024-04-01,Kalimantan,0.6611320201790197,27599.716481359203,chicken
2024-04-01,Maluku,0.05825299935994893,3411.017169857531,chicken
